30481;7.9
30492;8
30513;8.2
30524;8.7
30536;9.3
30584;10.3
30641;11.3
30698;12.3
30715;13.1
30758;13.7
30783;13.8
30804;13.9
30833;13.8
30846;13.7
30873;13.4
30891;13.2
30942;13.1
30965;12.9
30979;12.8
31056;12.7
31079;12.6
31090;12.6
31103;12.5
31136;12.4
31150;12.2
31163;12
31186;11.9
31249;11.9
31300;12.4
31328;13
31350;13.8
31371;14.7
31394;15.9
31407;16.6
31477;17.6
31490;18.5
31502;19.3
31561;19.6
31619;19.8
31645;19.7
31670;19.3
31718;19
31728;18.7
31747;18.3
31771;17.9
31790;17.1
31825;16.2
31924;15.2
31968;14.2
32003;13.2
32022;12.4
32040;11.4
32072;10.5
32115;9.5
32128;8.2
32155;6.9
32234;5.8
32256;4.6
32343;3.7
32353;3.1
32386;2.8
32424;3
32438;3.4
32466;4.9
32487;7
32537;9.2
32570;11.7
32588;14.1
32642;15.9
32658;17.3
32692;18.8
32731;19.7
32751;20.6
32776;21.3
32794;21.8
32844;22
32856;22.4
32868;22.8
32919;23.4
32934;23.8
32995;24.4
33006;24.9
33051;25.3
33064;25.6
33112;25.9
33156;26.3
33169;26.6
33215;26.9
33242;27.3
33260;27.6
33303;27.6
33328;27
33366;26.4
33445;25.5
33455;24.5
33477;23.4
33502;22.6
33525;21.7
33566;21
33576;20.4
33587;19.9
33598;19.4
33609;18.7
33630;17.6
33642;16.3
33698;14.8
33750;13.3
33770;11.9
33791;10.6
33824;9.5
33874;8.6
33896;8
33907;7.6
33920;7.6
33930;7.9
33943;8.3
33987;9
34004;9.9
34059;11
34076;12.1
34094;13.3
34111;14.3
34149;15.4
34219;16.3
34251;17.3
34272;18
34309;18.5
34325;18.7
34342;18.7
34382;18.7
34404;18.6
34434;18.4
34451;18.3
34469;18.1
34494;17.8
34519;17.3
34588;16.8
34667;16.4
34678;15.9
34701;15.6
34779;15.4
34790;15
34808;14.6
34881;14.2
34897;13.8
34941;13.3
34952;13
34970;12.8
34989;12.7
35025;12.6
35035;12.5
35055;12.6
35065;12.8
35077;13.2
35088;13.8
35122;14.9
35160;16
35219;17
35241;17.8
35252;18.2
35281;17.9
35304;17.4
35329;16.7
35353;16
35376;15.3
35396;14.6
35423;13.8
35440;13.1
35466;12.3
35502;11
35513;9.8
35611;8.6
35647;7.2
35658;5.9
35716;5.2
35780;4.5
35797;4
35813;3.7
35825;3.3
35845;3
35886;2.8
35945;2.6
36008;2.5
36036;2.5
36053;2.7
36066;3.4
36086;4.3
36178;5.5
36270;7
36364;8.9
36458;10.7
36552;12.6
36645;14.7
36739;17
36819;19.7
36898;22.3
36978;25
36996;27.5
37074;30.4
37089;32.3
37178;35.2
37201;37.7
37283;40.2
37312;42.5
37350;45
37409;46.8
37430;48.9
37473;50.9
37510;52.5
37523;54
37555;55.2
37571;56.8
